xflr5 v6.59

Main plane
VLM-110m/s
QInf  =,  110.000000 ,m/s
Alpha = ,   4.750000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.311896
Cy    = ,   0.000000
Cd=,   0.009689,ICd=,    0.005025,PCd=,    0.004664
Cl   = ,8.33305e-18
Cm   =,   -0.194166
ICn=,    0.000000,PCn=,    0.000000
XCP=,    4.249220, YCP=,    0.000000, ZCP=,    0.038589 
XNP=,    0.000000
Bending =, 102331.337915

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000
   -6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8485
   -5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6964
   -5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0281
   -4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5452
   -3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6676
   -3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.3295
   -2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.3181
   -2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45281.0445
   -2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.7849
   -2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.2659
   -2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2630
   -2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52427.9445
   -1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.3329
   -1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60533.7719
   -1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66444.8406
   -1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.0389
   -0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.3490
   -0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91667.6478
   -0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102330.7021
    0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102331.3379
    0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91668.2552
    0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.9039
    1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.5222
    1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66445.2376
    1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60534.0721
    1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.5290
    2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52428.0318
    2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2387
    2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.1289
    2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.6122
    2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45280.9120
    2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.2223
    3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.2651
    3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6283
    4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5240
    5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0186
    5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6933
    6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8480
    7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
  54,   6.633e+00,  -4.423e+00,  -4.241e-03,      -0.017,      -0.008,       1.000,   1.079e-01,     -0.0385
  55,   6.468e+00,  -4.423e+00,  -6.175e-03,       0.000,       0.001,       1.000,   1.422e-01,     -0.0060
  56,   6.256e+00,  -4.423e+00,  -4.923e-03,       0.020,       0.013,       1.000,   1.683e-01,      0.0648
  57,   6.011e+00,  -4.423e+00,   1.018e-03,       0.036,       0.023,       0.999,   1.846e-01,      0.1741
  58,   5.747e+00,  -4.423e+00,   1.096e-02,       0.041,       0.026,       0.999,   1.902e-01,      0.2920
  59,   5.479e+00,  -4.423e+00,   2.186e-02,       0.038,       0.024,       0.999,   1.847e-01,      0.4198
  60,   5.223e+00,  -4.423e+00,   3.119e-02,       0.030,       0.017,       0.999,   1.683e-01,      0.5860
  61,   4.993e+00,  -4.423e+00,   3.658e-02,       0.001,      -0.005,       1.000,   1.422e-01,      0.7740
  62,   4.803e+00,  -4.423e+00,   3.465e-02,      -0.055,      -0.051,       0.997,   1.082e-01,      0.9786
  63,   4.664e+00,  -4.423e+00,   2.471e-02,      -0.149,      -0.132,       0.980,   6.874e-02,      1.2348
  64,   4.584e+00,  -4.423e+00,   1.050e-02,      -0.358,      -0.313,       0.880,   2.603e-02,      1.2724
Strip 6
  65,   6.465e+00,  -3.771e+00,  -2.693e-04,      -0.030,      -0.015,       0.999,   2.171e-02,     -0.0184
  66,   6.411e+00,  -3.771e+00,  -1.803e-03,      -0.027,      -0.014,       1.000,   6.385e-02,     -0.0376
  67,   6.289e+00,  -3.771e+00,  -4.704e-03,      -0.017,      -0.008,       1.000,   1.023e-01,     -0.0412
  68,   6.105e+00,  -3.771e+00,  -6.849e-03,       0.000,       0.001,       1.000,   1.347e-01,     -0.0099
  69,   5.871e+00,  -3.771e+00,  -5.460e-03,       0.020,       0.013,       1.000,   1.594e-01,      0.0596
  70,   5.599e+00,  -3.771e+00,   1.129e-03,       0.036,       0.023,       0.999,   1.749e-01,      0.1672
  71,   5.306e+00,  -3.771e+00,   1.215e-02,       0.041,       0.026,       0.999,   1.802e-01,      0.2832
  72,   5.009e+00,  -3.771e+00,   2.424e-02,       0.038,       0.024,       0.999,   1.749e-01,      0.4085
  73,   4.724e+00,  -3.771e+00,   3.459e-02,       0.030,       0.017,       0.999,   1.595e-01,      0.5714
  74,   4.469e+00,  -3.771e+00,   4.057e-02,       0.001,      -0.005,       1.000,   1.347e-01,      0.7549
  75,   4.258e+00,  -3.771e+00,   3.843e-02,      -0.055,      -0.051,       0.997,   1.025e-01,      0.9516
  76,   4.104e+00,  -3.771e+00,   2.741e-02,      -0.149,      -0.132,       0.980,   6.512e-02,      1.1908
  77,   4.015e+00,  -3.771e+00,   1.164e-02,      -0.358,      -0.313,       0.880,   2.466e-02,      1.1785
Strip 7
  78,   6.193e+00,  -3.229e+00,  -2.913e-04,      -0.030,      -0.015,       0.999,   1.889e-02,     -0.0191
  79,   6.135e+00,  -3.229e+00,  -1.950e-03,      -0.027,      -0.014,       1.000,   5.557e-02,     -0.0389
  80,   6.002e+00,  -3.229e+00,  -5.088e-03,      -0.017,      -0.008,       1.000,   8.899e-02,     -0.0431
  81,   5.804e+00,  -3.229e+00,  -7.409e-03,       0.000,       0.001,       1.000,   1.172e-01,     -0.0125
  82,   5.550e+00,  -3.229e+00,  -5.906e-03,       0.020,       0.013,       1.000,   1.387e-01,      0.0561
  83,   5.256e+00,  -3.229e+00,   1.221e-03,       0.036,       0.023,       0.999,   1.522e-01,      0.1628
  84,   4.939e+00,  -3.229e+00,   1.314e-02,       0.041,       0.026,       0.999,   1.568e-01,      0.2773
  85,   4.618e+00,  -3.229e+00,   2.623e-02,       0.038,       0.024,       0.999,   1.522e-01,      0.4003
  86,   4.310e+00,  -3.229e+00,   3.742e-02,       0.030,       0.017,       0.999,   1.388e-01,      0.5601
  87,   4.034e+00,  -3.229e+00,   4.388e-02,       0.001,      -0.005,       1.000,   1.172e-01,      0.7392
  88,   3.806e+00,  -3.229e+00,   4.157e-02,      -0.055,      -0.051,       0.997,   8.923e-02,      0.9288
  89,   3.639e+00,  -3.229e+00,   2.965e-02,      -0.149,      -0.132,       0.980,   5.667e-02,      1.1528
  90,   3.543e+00,  -3.229e+00,   1.259e-02,      -0.358,      -0.313,       0.880,   2.146e-02,      1.0970
Strip 8
  91,   5.983e+00,  -2.811e+00,  -3.083e-04,      -0.030,      -0.015,       0.999,   1.464e-02,     -0.0198
  92,   5.921e+00,  -2.811e+00,  -2.064e-03,      -0.027,      -0.014,       1.000,   4.307e-02,     -0.0400
  93,   5.781e+00,  -2.811e+00,  -5.385e-03,      -0.017,      -0.008,       1.000,   6.898e-02,     -0.0446
  94,   5.571e+00,  -2.811e+00,  -7.842e-03,       0.000,       0.001,       1.000,   9.088e-02,     -0.0140
  95,   5.303e+00,  -2.811e+00,  -6.251e-03,       0.020,       0.013,       1.000,   1.075e-01,      0.0552
  96,   4.991e+00,  -2.811e+00,   1.292e-03,       0.036,       0.023,       0.999,   1.180e-01,      0.1617
  97,   4.656e+00,  -2.811e+00,   1.391e-02,       0.041,       0.026,       0.999,   1.216e-01,      0.2748
  98,   4.315e+00,  -2.811e+00,   2.776e-02,       0.038,       0.024,       0.999,   1.180e-01,      0.3957
  99,   3.990e+00,  -2.811e+00,   3.961e-02,       0.030,       0.017,       0.999,   1.076e-01,      0.5525
 100,   3.698e+00,  -2.811e+00,   4.645e-02,       0.001,      -0.005,       1.000,   9.088e-02,      0.7267
 101,   3.457e+00,  -2.811e+00,   4.400e-02,      -0.055,      -0.051,       0.997,   6.917e-02,      0.9097
 102,   3.280e+00,  -2.811e+00,   3.138e-02,      -0.149,      -0.132,       0.980,   4.393e-02,      1.1213
 103,   3.178e+00,  -2.811e+00,   1.333e-02,      -0.358,      -0.313,       0.880,   1.663e-02,      1.0298
Strip 9
 104,   5.840e+00,  -2.526e+00,  -3.199e-04,      -0.030,      -0.015,       0.999,   9.268e-03,     -0.0213
 105,   5.776e+00,  -2.526e+00,  -2.142e-03,      -0.027,      -0.014,       1.000,   2.726e-02,     -0.0424
 106,   5.631e+00,  -2.526e+00,  -5.588e-03,      -0.017,      -0.008,       1.000,   4.366e-02,     -0.0468
 107,   5.413e+00,  -2.526e+00,  -8.136e-03,       0.000,       0.001,       1.000,   5.752e-02,     -0.0145
 108,   5.134e+00,  -2.526e+00,  -6.486e-03,       0.020,       0.013,       1.000,   6.806e-02,      0.0588
 109,   4.811e+00,  -2.526e+00,   1.341e-03,       0.036,       0.023,       0.999,   7.468e-02,      0.1619
 110,   4.463e+00,  -2.526e+00,   1.443e-02,       0.041,       0.026,       0.999,   7.694e-02,      0.2729
 111,   4.110e+00,  -2.526e+00,   2.880e-02,       0.038,       0.024,       0.999,   7.469e-02,      0.3985
 112,   3.772e+00,  -2.526e+00,   4.109e-02,       0.030,       0.017,       0.999,   6.808e-02,      0.5476
 113,   3.469e+00,  -2.526e+00,   4.819e-02,       0.001,      -0.005,       1.000,   5.752e-02,      0.7149
 114,   3.219e+00,  -2.526e+00,   4.565e-02,      -0.055,      -0.051,       0.997,   4.378e-02,      0.8921
 115,   3.036e+00,  -2.526e+00,   3.256e-02,      -0.149,      -0.132,       0.980,   2.780e-02,      1.1003
 116,   2.930e+00,  -2.526e+00,   1.383e-02,      -0.358,      -0.313,       0.880,   1.053e-02,      0.9899
Strip 10
 117,   5.767e+00,  -2.381e+00,  -3.258e-04,      -0.030,      -0.015,       0.999,   3.172e-03,     -0.0270
 118,   5.702e+00,  -2.381e+00,  -2.181e-03,      -0.027,      -0.014,       1.000,   9.331e-03,     -0.0450
 119,   5.555e+00,  -2.381e+00,  -5.690e-03,      -0.017,      -0.008,       1.000,   1.494e-02,     -0.0471
 120,   5.332e+00,  -2.381e+00,  -8.285e-03,       0.000,       0.001,       1.000,   1.969e-02,     -0.0181
 121,   5.049e+00,  -2.381e+00,  -6.605e-03,       0.020,       0.013,       1.000,   2.329e-02,      0.0724
 122,   4.720e+00,  -2.381e+00,   1.365e-03,       0.036,       0.023,       0.999,   2.556e-02,      0.1594
 123,   4.366e+00,  -2.381e+00,   1.470e-02,       0.041,       0.026,       0.999,   2.633e-02,      0.2409
 124,   4.006e+00,  -2.381e+00,   2.933e-02,       0.038,       0.024,       0.999,   2.556e-02,      0.4208
 125,   3.662e+00,  -2.381e+00,   4.185e-02,       0.030,       0.017,       0.999,   2.330e-02,      0.5775
